"width","V1"
4,4518
5,5515
6,5733
7,7029
8,7407
9,9117
10,7779
11,6304
12,5639
13,5787
14,6551
15,8404
16,7655
17,5693
18,5501
19,5152
20,4998
21,5309
22,5064
23,4697
24,4356
25,4686
26,4403
27,4303
28,4054
29,4238
30,4601
31,4192
32,4151
33,3902
34,4017
35,3858
36,3944
37,3784
38,3956
39,4366
40,3830
41,3720
42,5046
43,3938
44,3499
45,3685
46,3605
47,3483
48,3568
49,3554
50,3594
51,3635
52,3379
53,3106
54,3254
55,3512
56,3275
57,3522
58,3262
59,3212
60,3204
61,3056
62,3101
63,3241
64,3073
65,3083
66,3034
67,3209
68,3022
69,3005
70,3473
71,2955
72,2946
73,3155
74,2864
75,2853
76,2882
77,2828
78,2815
79,3085
80,3174
81,2970
82,2931
83,2835
84,2903
85,2643
86,2923
87,2895
88,2862
89,2755
90,2798
91,2675
92,2817
93,2592
94,2588
95,2639
96,2967
97,2997
98,2700
99,2870
100,2519
101,2692
102,2757
103,2689
104,2733
105,2886
106,2679
107,2763
108,2988
109,2585
110,2440
111,2425
112,2772
113,2759
114,2722
115,2551
116,2566
117,2621
118,2525
119,2544
120,2683
121,2713
122,2534
123,2692
124,2476
125,2410
126,2370
127,2588
128,2278
129,2283
130,2380
131,2357
132,2371
133,2591
134,2493
135,2545
136,2553
137,2424
138,2291
139,2462
140,2223
141,2207
142,2214
143,2437
144,2244
145,2261
146,2358
147,2209
148,2294
149,2104
150,2531
151,2236
152,2232
153,2411
154,2222
155,2329
156,2336
157,2274
158,2245
159,2329
160,2197
161,2196
162,2258
163,2268
164,2157
165,2168
166,2259
167,2181
168,2208
169,2243
170,2141
171,2251
172,2269
173,2402
174,2163
175,2216
176,2280
177,2220
178,2255
179,2384
180,2272
181,2356
182,2236
183,2368
184,2210
185,2372
186,2383
187,2494
188,2510
189,2525
190,2674
191,2611
192,2679
193,2414
194,2562
195,2267
196,2271
197,2289
198,2247
199,2246
200,2237
201,2265
202,2203
203,2221
204,2322
205,2205
206,2187
207,2130
208,2178
209,2329
210,2246
211,2184
212,2198
213,2256
214,2340
215,2254
216,2051
217,2081
