"width","V1"
151,4
152,10
153,4
154,8
155,1
156,10
157,12
158,5
159,6
160,8
161,10
162,11
163,7
164,7
165,8
166,7
167,11
168,8
169,12
170,7
171,9
172,5
173,4
174,13
175,11
176,11
177,15
178,10
179,11
180,8
181,8
182,5
183,10
184,8
185,5
186,11
187,8
188,7
189,12
190,6
191,8
192,12
193,21
194,18
195,61
196,446
197,219
198,4940
199,59
200,11
201,15
202,9
203,15
204,20
205,646
206,13
207,15
208,2
209,11
210,14
211,5
212,20
213,10
214,4
215,2
216,7
217,5
218,9
219,9
220,3
221,4
222,9
223,4
224,5
225,5
226,8
227,8
228,3
229,7
230,18
231,4
232,4
233,6
234,9
235,3
236,2
237,5
238,2
239,2
240,5
241,9
242,12
243,3
244,7
245,10
246,9
247,7
248,6
249,6
250,4
251,7
252,8
253,8
254,8
255,120
256,8
257,3
258,8
259,3
260,5
261,6
262,13
263,5
264,9
265,7
266,8
267,3
268,6
269,6
270,9
271,7
272,6
273,3
274,6
275,3
276,8
277,1
278,4
279,6
280,6
281,3
282,10
283,6
284,2
285,5
286,4
287,6
288,4
289,8
290,4
291,9
292,3
293,4
294,6
295,8
296,4
297,7
298,6
299,4
300,6
301,6
302,4
303,9
304,12
305,11
306,9
307,4
308,3
309,9
310,3
311,4
312,10
313,9
314,4
315,5
316,11
317,3
318,8
319,4
320,3
321,2
322,5
323,6
324,9
325,5
326,6
327,9
328,17
329,7
330,6
331,9
332,9
333,4
334,5
335,8
336,14
337,3
338,10
339,6
340,6
341,3
342,11
343,7
344,3
345,6
346,4
347,8
348,5
349,8
350,10
351,4
352,2
353,6
354,10
355,4
356,8
357,7
358,6
359,5
360,4
361,5
362,5
363,10
364,6
365,4
366,6
367,6
368,8
369,3
370,8
371,3
372,8
373,4
374,5
375,5
376,7
377,10
378,5
379,3
380,8
381,7
382,7
383,8
384,7
385,3
386,10
387,8
388,5
389,8
390,3
391,11
392,8
393,8
394,11
395,19
396,5
397,25
398,15
399,47
400,7
402,6
403,3
404,5
405,4
406,15
407,8
408,5
409,9
410,3
411,1
412,7
413,5
414,6
415,4
416,4
417,6
418,10
419,4
420,9
421,5
422,4
423,3
424,10
425,3
426,9
427,8
428,8
429,5
430,6
431,6
432,10
433,7
434,9
435,7
436,2
437,6
438,9
439,5
440,8
441,7
442,7
443,5
444,11
445,1
446,6
447,8
448,8
449,7
450,6
451,4
452,6
453,10
454,7
